COD_ETU;Note : TLMP3004;RÃ©sultat : TLMP3004;Session : TLMP3004;AnnÃ©e : TLMP3004;Filière;Année;Module;Semestre
11013396;10;V ;2;2013;MIPC;2020;TLMP3004;S3
12012705;10;V ;2;2014;MIPC;2020;TLMP3004;S3
14004740;9,633;AC;2;2020;MIPC;2020;TLMP3004;S3
14006708;4,517;NV;2;2020;MIPC;2020;TLMP3004;S3
15000272;8,058;NV;2;2020;MIPC;2020;TLMP3004;S3
15000304;1,667;NV;2;2020;MIPC;2020;TLMP3004;S3
15000339;6,404;NV;2;2020;MIPC;2020;TLMP3004;S3
15001042;4,083;NV;2;2020;MIPC;2020;TLMP3004;S3
15001093;10;V ;2;2016;MIPC;2020;TLMP3004;S3
15002395;;;1;2020;MIPC;2020;TLMP3004;S3
15002444;10,183;V ;2;2020;MIPC;2020;TLMP3004;S3
15002547;5,246;NV;2;2020;MIPC;2020;TLMP3004;S3
15003217;5,625;NV;2;2020;MIPC;2020;TLMP3004;S3
15003319;10,952;V ;2;2019;MIPC;2020;TLMP3004;S3
15005628;5,958;NV;2;2020;MIPC;2020;TLMP3004;S3
15006164;10.2;V ;2;2020;MIPC;2020;TLMP3004;S3
15006442;10,308;V ;2;2018;MIPC;2020;TLMP3004;S3
16000511;5;NV;2;2020;MIPC;2020;TLMP3004;S3
16000767;4,417;NV;2;2020;MIPC;2020;TLMP3004;S3
16000775;9,875;AC;2;2020;MIPC;2020;TLMP3004;S3
16000909;10,179;V ;2;2020;MIPC;2020;TLMP3004;S3
16000914;1,667;NV;2;2020;MIPC;2020;TLMP3004;S3
16000956;11,092;V ;1;2020;MIPC;2020;TLMP3004;S3
16001125;11,658;V ;2;2020;MIPC;2020;TLMP3004;S3
16001976;3,917;NV;2;2020;MIPC;2020;TLMP3004;S3
16002215;10,583;V ;2;2020;MIPC;2020;TLMP3004;S3
16003433;10,458;V ;2;2020;MIPC;2020;TLMP3004;S3
16004528;;;1;2020;MIPC;2020;TLMP3004;S3
16007410;10,146;V ;2;2020;MIPC;2020;TLMP3004;S3
16007485;10,966;V ;2;2018;MIPC;2020;TLMP3004;S3
16008484;2,042;NV;2;2020;MIPC;2020;TLMP3004;S3
17001640;10,083;V ;2;2020;MIPC;2020;TLMP3004;S3
17003807;;;1;2020;MIPC;2020;TLMP3004;S3
17004863;10,917;V ;2;2020;MIPC;2020;TLMP3004;S3
17004940;2,417;NV;2;2020;MIPC;2020;TLMP3004;S3
17005013;0;NV;2;2020;MIPC;2020;TLMP3004;S3
17005077;6,123;NV;2;2020;MIPC;2020;TLMP3004;S3
17005156;3,867;NV;2;2020;MIPC;2020;TLMP3004;S3
