COD_ETU;Note : TLMI1204;RÃ©sultat : TLMI1204;Session : TLMI1204;AnnÃ©e : TLMI1204;Filière;Année;Module;Semestre
16001328;9.6;AC ;2;2020;MIP;2020;TLMI1204;S1
16001328;8.5;AC ;2;2020;MIP;2020;TLMI1304;S1
16001999;10;V  ;2;2017;MIP;2020;TLMI1304;S1
16002056;0;NRA;1;2020;MIP;2020;TLMI1304;S1
16005554;10;V  ;2;2020;MIP;2020;TLMI1304;S1
17000924;11;V  ;1;2020;MIP;2020;TLMI1304;S1
17002059;7;AC ;2;2020;MIP;2020;TLMI1304;S1
17002457;10;V  ;1;2020;MIP;2020;TLMI1304;S1
17006009;0;NRA;1;2020;MIP;2020;TLMI1304;S1
17006196;6;NV ;2;2020;MIP;2020;TLMI1304;S1
17006200;7;AC ;2;2018;MIP;2020;TLMI1304;S1
17006271;10;V  ;2;2020;MIP;2020;TLMI1304;S1
17006394;10;V  ;2;2018;MIP;2020;TLMI1304;S1
17006401;10;V  ;1;2018;MIP;2020;TLMI1304;S1
17006419;7.5;AC ;2;2020;MIP;2020;TLMI1304;S1
17006632;3.5;NV ;2;2020;MIP;2020;TLMI1304;S1
17006758;10;V  ;2;2018;MIP;2020;TLMI1304;S1
18000739;0;NRA;1;2020;MIP;2020;TLMI1304;S1
18003890;12;V  ;1;2020;MIP;2020;TLMI1304;S1
18004287;11;V  ;1;2018;MIP;2020;TLMI1304;S1
18004337;0;NRA;1;2020;MIP;2020;TLMI1304;S1
18004424;0;NRA;1;2020;MIP;2020;TLMI1304;S1
18004433;0;NRA;1;2020;MIP;2020;TLMI1304;S1
18004480;11;V  ;1;2020;MIP;2020;TLMI1304;S1
18004557;10.5;V  ;1;2020;MIP;2020;TLMI1304;S1
18004840;10;V  ;1;2018;MIP;2020;TLMI1304;S1
18004952;10;V  ;1;2020;MIP;2020;TLMI1304;S1
18005070;7.5;AC ;2;2020;MIP;2020;TLMI1304;S1
18005354;0;NRA;1;2020;MIP;2020;TLMI1304;S1
18005401;10;V  ;1;2018;MIP;2020;TLMI1304;S1
