COD_ETU;Note : TLMP1004;RÃ©sultat : TLMP1004;Session : TLMP1004;AnnÃ©e : TLMP1004;Filière;Année;Module;Semestre
19001146;2.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19001171;10,521;V ;2;2020;MIPC;2020;TLMP1004;S1
19001177;1,917;NV;2;2020;MIPC;2020;TLMP1004;S1
19001206;8,667;NV;2;2020;MIPC;2020;TLMP1004;S1
19001214;11,925;V ;2;2019;MIPC;2020;TLMP1004;S1
19001229;2,375;NV;2;2020;MIPC;2020;TLMP1004;S1
19001345;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19001409;3.8;NV;2;2020;MIPC;2020;TLMP1004;S1
19001435;2,667;NV;2;2020;MIPC;2020;TLMP1004;S1
19001527;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19001548;10,083;V ;2;2020;MIPC;2020;TLMP1004;S1
19002059;10,975;V ;2;2020;MIPC;2020;TLMP1004;S1
19002241;12,583;V ;2;2020;MIPC;2020;TLMP1004;S1
19002254;11,771;V ;2;2020;MIPC;2020;TLMP1004;S1
19002263;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19002304;1,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19002323;9,458;NV;2;2020;MIPC;2020;TLMP1004;S1
19002391;13,917;V ;1;2020;MIPC;2020;TLMP1004;S1
19002393;10,017;V ;2;2020;MIPC;2020;TLMP1004;S1
19002603;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19002742;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19003237;13,767;V ;2;2019;MIPC;2020;TLMP1004;S1
19003242;9,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19003265;10,967;V ;2;2020;MIPC;2020;TLMP1004;S1
19003465;12,833;V ;2;2020;MIPC;2020;TLMP1004;S1
19003687;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19003918;11.5;V ;2;2020;MIPC;2020;TLMP1004;S1
19004031;10;V ;2;2020;MIPC;2020;TLMP1004;S1
19004055;10,583;V ;2;2020;MIPC;2020;TLMP1004;S1
19004077;10,617;V ;1;2020;MIPC;2020;TLMP1004;S1
19004078;2.8;NV;2;2020;MIPC;2020;TLMP1004;S1
19004083;10,013;V ;2;2020;MIPC;2020;TLMP1004;S1
19004102;12.9;V ;2;2020;MIPC;2020;TLMP1004;S1
19004166;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19004199;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19004214;9.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19004228;12,417;V ;1;2020;MIPC;2020;TLMP1004;S1
19004243;9,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19004307;3,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19004365;16.5;V ;1;2020;MIPC;2020;TLMP1004;S1
19004420;9,042;NV;2;2020;MIPC;2020;TLMP1004;S1
19004425;12,833;V ;2;2020;MIPC;2020;TLMP1004;S1
19004435;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19004444;1,667;NV;2;2020;MIPC;2020;TLMP1004;S1
19004449;11,833;V ;2;2020;MIPC;2020;TLMP1004;S1
19004451;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19004456;11,333;V ;1;2020;MIPC;2020;TLMP1004;S1
19004457;10,617;V ;2;2020;MIPC;2020;TLMP1004;S1
19004459;10,117;V ;2;2020;MIPC;2020;TLMP1004;S1
19004486;10;V ;2;2020;MIPC;2020;TLMP1004;S1
19004492;10,083;V ;2;2020;MIPC;2020;TLMP1004;S1
19004502;10,892;V ;2;2019;MIPC;2020;TLMP1004;S1
19004506;11.2;V ;2;2020;MIPC;2020;TLMP1004;S1
19004508;10,917;V ;2;2020;MIPC;2020;TLMP1004;S1
19004516;10.2;V ;2;2020;MIPC;2020;TLMP1004;S1
19004540;5,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19004714;1,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19004721;10.5;V ;2;2020;MIPC;2020;TLMP1004;S1
19004724;8,767;NV;2;2020;MIPC;2020;TLMP1004;S1
19004740;11.2;V ;2;2020;MIPC;2020;TLMP1004;S1
19004755;11,725;V ;1;2020;MIPC;2020;TLMP1004;S1
19004761;11,258;V ;2;2020;MIPC;2020;TLMP1004;S1
19004774;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
19004786;1.8;NV;2;2020;MIPC;2020;TLMP1004;S1
19004792;6,917;NV;2;2020;MIPC;2020;TLMP1004;S1
19004796;11,333;V ;2;2020;MIPC;2020;TLMP1004;S1
19004867;2,583;NV;2;2020;MIPC;2020;TLMP1004;S1
19004872;12;V ;2;2020;MIPC;2020;TLMP1004;S1
19004878;2,083;NV;2;2020;MIPC;2020;TLMP1004;S1
19004885;12,917;V ;1;2020;MIPC;2020;TLMP1004;S1
19004898;12,292;V ;1;2020;MIPC;2020;TLMP1004;S1
19004911;11,829;V ;1;2020;MIPC;2020;TLMP1004;S1
19004920;10,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19004964;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
19004975;10,917;V ;2;2020;MIPC;2020;TLMP1004;S1
19004993;10,825;V ;2;2020;MIPC;2020;TLMP1004;S1
19004999;12.3;V ;2;2020;MIPC;2020;TLMP1004;S1
19005016;10,567;V ;2;2020;MIPC;2020;TLMP1004;S1
19005092;8,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19005137;11,125;V ;2;2020;MIPC;2020;TLMP1004;S1
19005151;10,633;V ;2;2020;MIPC;2020;TLMP1004;S1
19005160;5,942;NV;2;2020;MIPC;2020;TLMP1004;S1
19005228;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19005398;6,125;NV;2;2020;MIPC;2020;TLMP1004;S1
19005441;8.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19005446;10,846;V ;2;2020;MIPC;2020;TLMP1004;S1
19005455;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19005462;2,833;NV;2;2020;MIPC;2020;TLMP1004;S1
19005468;11,342;V ;2;2020;MIPC;2020;TLMP1004;S1
19005483;11,875;V ;2;2020;MIPC;2020;TLMP1004;S1
19005509;8,417;NV;2;2020;MIPC;2020;TLMP1004;S1
19005528;8.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19005537;12,125;V ;2;2020;MIPC;2020;TLMP1004;S1
19005542;6;NV;2;2020;MIPC;2020;TLMP1004;S1
19006027;11,725;V ;2;2020;MIPC;2020;TLMP1004;S1
19006028;12,167;V ;1;2020;MIPC;2020;TLMP1004;S1
19006057;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19006168;10,567;V ;1;2020;MIPC;2020;TLMP1004;S1
19006692;1,917;NV;2;2020;MIPC;2020;TLMP1004;S1
19007491;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19007810;12,683;V ;2;2020;MIPC;2020;TLMP1004;S1
19008158;7,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19008200;7,208;NV;2;2020;MIPC;2020;TLMP1004;S1
19008206;10,933;V ;2;2020;MIPC;2020;TLMP1004;S1
19008235;11.8;V ;2;2020;MIPC;2020;TLMP1004;S1
19008280;8.8;NV;2;2020;MIPC;2020;TLMP1004;S1
19008346;10,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19008438;8,917;NV;2;2020;MIPC;2020;TLMP1004;S1
19008734;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19008749;2,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19008762;2,792;NV;2;2020;MIPC;2020;TLMP1004;S1
19008763;10,925;V ;2;2020;MIPC;2020;TLMP1004;S1
19008779;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
19008784;11,708;V ;2;2020;MIPC;2020;TLMP1004;S1
19008801;10,667;V ;2;2020;MIPC;2020;TLMP1004;S1
19008852;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
19008858;12,508;V ;1;2020;MIPC;2020;TLMP1004;S1
19008885;10.5;V ;1;2020;MIPC;2020;TLMP1004;S1
19008895;11,617;V ;2;2020;MIPC;2020;TLMP1004;S1
19008900;8,583;NV;2;2020;MIPC;2020;TLMP1004;S1
19008912;8,417;NV;2;2020;MIPC;2020;TLMP1004;S1
19008942;6;NV;2;2020;MIPC;2020;TLMP1004;S1
19008944;12,517;V ;1;2020;MIPC;2020;TLMP1004;S1
19008961;12,521;V ;1;2020;MIPC;2020;TLMP1004;S1
19008963;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19008987;11,667;V ;2;2020;MIPC;2020;TLMP1004;S1
19009087;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19009112;11,146;V ;2;2020;MIPC;2020;TLMP1004;S1
19009120;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
19009151;9.9;NV;2;2020;MIPC;2020;TLMP1004;S1
19009161;10,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19009168;10,642;V ;2;2020;MIPC;2020;TLMP1004;S1
19009174;1,667;NV;2;2020;MIPC;2020;TLMP1004;S1
19009177;1,667;NV;2;2020;MIPC;2020;TLMP1004;S1
