""
"17002541;10.2;;1;;BCG;2019;TLBC3104;S3"
"17002558;;;;;BCG;2019;TLBC3104;S3"
"17002699;10,363;;1;;BCG;2019;TLBC3104;S3"
"17003102;;;;;BCG;2019;TLBC3104;S3"
"17003303;7.7;;2;;BCG;2019;TLBC3104;S3"
"17003761;8.8;;2;;BCG;2019;TLBC3104;S3"
"17003931;10,425;;1;;BCG;2019;TLBC3104;S3"
"17003944;11,225;;1;;BCG;2019;TLBC3104;S3"
"17004122;10;;2;;BCG;2019;TLBC3104;S3"
"17004153;7,525;;2;;BCG;2019;TLBC3104;S3"
"17004222;10.8;;1;;BCG;2019;TLBC3104;S3"
"17004303;0;;1;;BCG;2019;TLBC3104;S3"
"17004823;12.9;;1;;BCG;2019;TLBC3104;S3"
"17004847;0;;1;;BCG;2019;TLBC3104;S3"
"17004850;0;;1;;BCG;2019;TLBC3104;S3"
"17004852;7,975;;2;;BCG;2019;TLBC3104;S3"
"17004892;15.2;;1;;BCG;2019;TLBC3104;S3"
"17004988;7.5;;2;;BCG;2019;TLBC3104;S3"
"17004996;8,625;;2;;BCG;2019;TLBC3104;S3"
"17005011;10;;2;;BCG;2019;TLBC3104;S3"
"17005019;8,775;;2;;BCG;2019;TLBC3104;S3"
"17005121;11,838;;1;;BCG;2019;TLBC3104;S3"
"17005130;5,325;;2;;BCG;2019;TLBC3104;S3"
"17005196;;;;;BCG;2019;TLBC3104;S3"
"17005235;12,375;;1;;BCG;2019;TLBC3104;S3"
"17005248;11.2;;1;;BCG;2019;TLBC3104;S3"
"17005252;11,725;;1;;BCG;2019;TLBC3104;S3"
"17005271;9,625;;2;;BCG;2019;TLBC3104;S3"
"17005274;4,275;;1;;BCG;2019;TLBC3104;S3"
"17005284;7,975;;2;;BCG;2019;TLBC3104;S3"
"17005286;8,925;;2;;BCG;2019;TLBC3104;S3"
"17005287;9,038;;2;;BCG;2019;TLBC3104;S3"
"17005288;10,588;;1;;BCG;2019;TLBC3104;S3"
"17005290;9.5;;2;;BCG;2019;TLBC3104;S3"
"17005293;13;;1;;BCG;2019;TLBC3104;S3"
"17005294;10;;2;;BCG;2019;TLBC3104;S3"
"17005296;10;;1;;BCG;2019;TLBC3104;S3"
"17005300;8;;2;;BCG;2019;TLBC3104;S3"
"17005301;10.2;;1;;BCG;2019;TLBC3104;S3"
"17005302;10,875;;1;;BCG;2019;TLBC3104;S3"
"17005304;12.5;;1;;BCG;2019;TLBC3104;S3"
"17005334;;;;;BCG;2019;TLBC3104;S3"
"17005360;13,163;;1;;BCG;2019;TLBC3104;S3"
"17005361;10,588;;1;;BCG;2019;TLBC3104;S3"
"17005364;10.6;;1;;BCG;2019;TLBC3104;S3"
