COD_ETU;Note : TLMI1104;Résultat : TLMI1104;Session : TLMI1104;Année : TLMI1104;Filière;Année;Module;Semestre
16000603;8.8;AC ;2;2017;MIP;2019;TLMI1104;S1
16000636;10;V  ;1;2019;MIP;2019;TLMI1104;S1
16000970;10.8;V  ;1;2017;MIP;2019;TLMI1104;S1
16001090;12.6;V  ;1;2017;MIP;2019;TLMI1104;S1
16001233;8.2;AC ;2;2019;MIP;2019;TLMI1104;S1
16001288;10025;V  ;1;2017;MIP;2019;TLMI1104;S1
16001328;11.9;V  ;1;2017;MIP;2019;TLMI1104;S1
16001358;10.2;V  ;1;2016;MIP;2019;TLMI1104;S1
16001447;10;V  ;2;2017;MIP;2019;TLMI1104;S1
16001529;8.2;AC ;2;2019;MIP;2019;TLMI1104;S1
16001899;10;V  ;2;2018;MIP;2019;TLMI1104;S1
16001999;10.1;V  ;1;2019;MIP;2019;TLMI1104;S1
16002056;5.5;NV ;2;2019;MIP;2019;TLMI1104;S1
16003729;17.2;V  ;1;2019;MIP;2019;TLMI1104;S1
16004163;11.2;V  ;1;2017;MIP;2019;TLMI1104;S1
16005397;7;AC ;2;2019;MIP;2019;TLMI1104;S1
16005554;2.6;NRA;1;2019;MIP;2019;TLMI1104;S1
17000924;16.2;V  ;1;2019;MIP;2019;TLMI1104;S1
17002059;8.9;NV ;2;2019;MIP;2019;TLMI1104;S1
17002457;12.6;V  ;1;2019;MIP;2019;TLMI1104;S1
17004263;12.7;V  ;1;2017;MIP;2019;TLMI1104;S1
17004774;12.4;V  ;1;2018;MIP;2019;TLMI1104;S1
17005128;12.4;V  ;1;2018;MIP;2019;TLMI1104;S1
17005358;10;V  ;2;2018;MIP;2019;TLMI1104;S1
17005726;8.9;AC ;2;2017;MIP;2019;TLMI1104;S1
17005751;8.3;AC ;2;2019;MIP;2019;TLMI1104;S1
17005992;10.1;V  ;1;2018;MIP;2019;TLMI1104;S1
17006009;8.4;NV ;2;2019;MIP;2019;TLMI1104;S1
17006032;7;AC ;2;2018;MIP;2019;TLMI1104;S1
17006189;10;V  ;2;2018;MIP;2019;TLMI1104;S1
17006196;0;NRA;1;2019;MIP;2019;TLMI1104;S1
17006197;11.3;V  ;1;2017;MIP;2019;TLMI1104;S1
17006200;13.2;V  ;1;2017;MIP;2019;TLMI1104;S1
17006271;11.2;V  ;1;2019;MIP;2019;TLMI1104;S1
17006283;0;NRA;1;2019;MIP;2019;TLMI1104;S1
17006307;10;V  ;2;2018;MIP;2019;TLMI1104;S1
17006316;10;V  ;2;2019;MIP;2019;TLMI1104;S1
17006327;10;V  ;2;2018;MIP;2019;TLMI1104;S1
17006345;11.8;V  ;1;2019;MIP;2019;TLMI1104;S1
17006351;9;AC ;2;2019;MIP;2019;TLMI1104;S1
17006394;7.4;NV ;2;2019;MIP;2019;TLMI1104;S1
17006397;10;V  ;2;2017;MIP;2019;TLMI1104;S1
17006399;10;V  ;2;2018;MIP;2019;TLMI1104;S1
17006401;3.4;NRA;1;2019;MIP;2019;TLMI1104;S1
17006419;8.8;NV ;2;2019;MIP;2019;TLMI1104;S1
17006427;11.8;V  ;1;2018;MIP;2019;TLMI1104;S1
17006503;15.1;V  ;1;2018;MIP;2019;TLMI1104;S1
17006514;14.8;V  ;1;2019;MIP;2019;TLMI1104;S1
17006632;3;NRA;1;2019;MIP;2019;TLMI1104;S1
17006758;10.1;V  ;1;2018;MIP;2019;TLMI1104;S1
17007398;0;NRA;1;2019;MIP;2019;TLMI1104;S1
17010720;12;V  ;1;2019;MIP;2019;TLMI1104;S1
18000739;0;NRA;1;2019;MIP;2019;TLMI1104;S1
18002014;10.8;V  ;1;2019;MIP;2019;TLMI1104;S1
18003211;7;AC ;2;2019;MIP;2019;TLMI1104;S1
18003719;10;V  ;2;2018;MIP;2019;TLMI1104;S1
18003890;6.6;NV ;2;2019;MIP;2019;TLMI1104;S1
18003909;9.2;AC ;2;2019;MIP;2019;TLMI1104;S1
18003921;8.9;AC ;2;2019;MIP;2019;TLMI1104;S1
18003956;8.1;AC ;2;2019;MIP;2019;TLMI1104;S1
18004287;11.2;V  ;1;2018;MIP;2019;TLMI1104;S1
18004291;15;V  ;1;2019;MIP;2019;TLMI1104;S1
18004337;10.2;V  ;1;2018;MIP;2019;TLMI1104;S1
18004367;7.6;AC ;2;2019;MIP;2019;TLMI1104;S1
18004376;1.5;NRA;1;2019;MIP;2019;TLMI1104;S1
18004424;0;NRA;1;2019;MIP;2019;TLMI1104;S1
18004433;0;NRA;1;2019;MIP;2019;TLMI1104;S1
18004480;6.5;NV ;2;2019;MIP;2019;TLMI1104;S1
18004557;7.3;NV ;2;2019;MIP;2019;TLMI1104;S1
18004807;10;V  ;2;2018;MIP;2019;TLMI1104;S1
18004840;0;NRA;1;2019;MIP;2019;TLMI1104;S1
18004860;10;V  ;2;2018;MIP;2019;TLMI1104;S1
18004917;11.7;V  ;1;2019;MIP;2019;TLMI1104;S1
18004952;1.6;NRA;1;2019;MIP;2019;TLMI1104;S1
18005004;7;AC ;2;2018;MIP;2019;TLMI1104;S1
18005047;7;AC ;2;2018;MIP;2019;TLMI1104;S1
18005070;3;NRA;1;2019;MIP;2019;TLMI1104;S1
18005077;11.1;V  ;1;2018;MIP;2019;TLMI1104;S1
18005324;10;V  ;2;2018;MIP;2019;TLMI1104;S1
18005354;0;NRA;1;2019;MIP;2019;TLMI1104;S1
18005370;8;AC ;2;2018;MIP;2019;TLMI1104;S1
18005401;8.8;AC ;2;2018;MIP;2019;TLMI1104;S1
18005409;10.2;V  ;1;2018;MIP;2019;TLMI1104;S1
18005417;9;AC ;2;2019;MIP;2019;TLMI1104;S1
18005421;7;AC ;2;2018;MIP;2019;TLMI1104;S1
