COD_ETU,Note : TLGE1104,Résultat : TLGE1104,Session : TLGE1104,Année : TLGE1104,Note : TLGE1204,Résultat : TLGE1204,Session : TLGE1204,Année : TLGE1204,Note : TLGE1304,Résultat : TLGE1304,Session : TLGE1304,Année : TLGE1304,Note : TLGE1404,Résultat : TLGE1404,Session : TLGE1404,Année : TLGE1404,Note : TLGE1504,Résultat : TLGE1504,Session : TLGE1504,Année : TLGE1504,Note : TLGE1604,Résultat : TLGE1604,Session : TLGE1604,Année : TLGE1604,Note : TLGE1004,Résultat : TLGE1004,Session : TLGE1004,Année : TLGE1004,Note : TLGE2104,Résultat : TLGE2104,Session : TLGE2104,Année : TLGE2104,Note : TLGE2204,Résultat : TLGE2204,Session : TLGE2204,Année : TLGE2204,Note : TLGE2304,Résultat : TLGE2304,Session : TLGE2304,Année : TLGE2304,Note : TLGE2404,Résultat : TLGE2404,Session : TLGE2404,Année : TLGE2404,Note : TLGE2504,Résultat : TLGE2504,Session : TLGE2504,Année : TLGE2504,Note : TLGE2604,Résultat : TLGE2604,Session : TLGE2604,Année : TLGE2604,Note : TLGE2004,Résultat : TLGE2004,Session : TLGE2004,Année : TLGE2004
18011655,11.16,V,1,2019,10,V,2,2019,10,V,1,2019,10.8,V,1,2019,10,V,2,2019,10,V,2,2018,10327,V,2,2019,10,V,2,2019,10,V,2,2018,10,V,2,2019,10,V,2,2019,10,V,2,2018,10,V,2,2018,10,V,2,2019
18011673,10,V,2,2019,2,NRA,1,2019,10,V,2,2019,8,NV,2,2019,13.5,V,1,2018,13.75,V,1,2018,9542,NV,2,2019,10,V,2,2019,10,V,1,2019,10,V,2,2019,13,V,1,2019,14,V,1,2019,13.5,V,1,2018,11.75,V,2,2019
18012389,10425,V,1,2019,11.5,V,1,2019,10,V,2,2019,10,V,2,2018,10,V,2,2019,11.5,V,1,2018,10571,V,2,2019,9,NV,2,2019,10,V,2,2019,4,NV,2,2019,12,V,1,2019,10,V,2,2019,10.5,V,1,2018,9.25,NV,2,2019
18012813,0,NRA,1,2019,2,NRA,1,2019,5,NV,2,2019,.2,NRA,1,2019,4.8,NRA,1,2019,12.5,V,1,2018,4083,NV,2,2019,12,V,1,2019,14,V,1,2019,10,V,1,2019,13,V,1,2019,8,AC,2,2019,10,V,2,2019,11167,V,2,2019
18013401,3125,NRA,1,2019,12.75,V,1,2019,10,V,2,2019,3,NRA,1,2019,3.3,NRA,1,2019,13.5,V,1,2018,7613,NV,2,2019,12.5,V,1,2019,10,V,1,2019,14,V,1,2019,20,V,1,2019,14,V,1,2019,11.5,V,1,2018,13667,V,1,2019
19000548,16.37,V,1,2019,12.25,V,1,2019,14.4,V,1,2019,16.2,V,1,2019,11.4,V,1,2019,17,V,1,2019,14603,V,1,2019,10,V,2,2019,12,V,1,2019,14,V,1,2019,10,V,2,2019,11,V,1,2019,14,V,1,2019,11833,V,2,2019
19000558,10,V,2,2019,11.25,V,1,2019,11.8,V,1,2019,14,V,1,2019,7,AC,2,2019,15.5,V,1,2019,11592,V,2,2019,10,V,2,2019,10,V,2,2019,14,V,1,2019,11,V,1,2019,15,V,1,2019,13,V,1,2019,12167,V,2,2019
19000563,3138,NRA,1,2019,3.25,NRA,1,2019,3.4,NRA,1,2019,10,V,1,2019,3.35,NRA,1,2019,13.25,V,1,2019,6065,NV,2,2019,13,V,1,2019,14,V,1,2019,16,V,1,2019,13,V,1,2019,14,V,1,2019,16,V,1,2019,14333,V,1,2019
19000576,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
19000592,10.05,V,1,2019,10,V,2,2019,10.8,V,1,2019,14.2,V,1,2019,10,V,1,2019,11,V,1,2019,11008,V,2,2019,11.5,V,1,2019,12,V,1,2019,18,V,1,2019,15,V,1,2019,14,V,1,2019,12.5,V,1,2019,13833,V,1,2019
19000597,7.1,NV,2,2019,6,NV,2,2019,10,V,1,2019,10,V,2,2019,11.15,V,1,2019,12.25,V,1,2019,9417,NV,2,2019,10,V,2,2019,12,V,1,2019,14,V,1,2019,15,V,1,2019,10,V,2,2019,15,V,1,2019,12667,V,2,2019
19000604,11985,V,1,2019,7,AC,2,2019,10.4,V,1,2019,15,V,1,2019,7,AC,2,2019,12,V,1,2019,10564,V,2,2019,11,V,1,2019,14,V,1,2019,16,V,1,2019,13,V,1,2019,12,V,1,2019,11,V,1,2019,12833,V,1,2019
19000610,15245,V,1,2019,12,V,1,2019,12.4,V,1,2019,16.4,V,1,2019,13.3,V,1,2019,14,V,1,2019,13891,V,1,2019,12,V,1,2019,10,V,2,2019,14,V,1,2019,13,V,1,2019,17,V,1,2019,15,V,1,2019,13.5,V,2,2019
19000645,1.55,NRA,1,2019,3.25,NRA,1,2019,5.4,NV,2,2019,6,NV,2,2019,4.9,NRA,1,2019,14.5,V,1,2019,5933,NV,2,2019,13.5,V,1,2019,10,V,2,2019,16,V,1,2019,13,V,1,2019,13,V,1,2019,11,V,1,2019,12.75,V,2,2019
19000649,8,NV,2,2019,3,NRA,1,2019,10.4,V,1,2019,13,V,1,2019,12.9,V,1,2019,11.5,V,1,2019,9.8,NV,2,2019,9.5,AC,2,2019,20,V,1,2019,12,V,1,2019,10,V,1,2019,10,V,2,2019,13,V,1,2019,12417,V,2,2019
19000653,7.25,NV,2,2019,1.75,NRA,1,2019,1.2,NRA,1,2019,10,V,2,2019,10,V,2,2019,10,V,2,2019,6.7,NV,2,2019,10.25,V,1,2019,16,V,1,2019,12,V,1,2019,10,V,1,2019,11,V,1,2019,15,V,1,2019,12375,V,1,2019
19000656,7,NV,2,2019,1,NRA,1,2019,0,NRA,1,2019,10,V,2,2019,5.5,NV,2,2019,10,V,2,2019,5583,NV,2,2019,11.5,V,1,2019,16,V,1,2019,12,V,1,2019,13,V,1,2019,14,V,1,2019,12,V,1,2019,13083,V,1,2019
19000684,13645,V,1,2019,14,V,1,2019,11.6,V,1,2019,17.6,V,1,2019,13.6,V,1,2019,14,V,1,2019,14074,V,1,2019,12,V,1,2019,10,V,1,2019,18,V,1,2019,13,V,1,2019,14,V,1,2019,15,V,1,2019,13667,V,1,2019
19000695,2.4,NRA,1,2019,1,NRA,1,2019,3.6,NRA,1,2019,3.4,NRA,1,2019,10,V,2,2019,10,V,2,2019,5067,NV,2,2019,10,V,1,2019,16,V,1,2019,12,V,1,2019,13,V,1,2019,14,V,1,2019,15,V,1,2019,13333,V,1,2019
19000720,9.31,NV,2,2019,2.75,NRA,1,2019,1.8,NRA,1,2019,5.4,NV,2,2019,10,V,2,2019,8,NV,2,2019,6.21,NV,2,2019,10,V,2,2019,8,AC,2,2019,10,V,2,2019,8,AC,2,2019,14,V,1,2019,12,V,1,2019,10333,V,2,2019
19000722,10,V,2,2019,10.25,V,1,2019,11.8,V,1,2019,17.2,V,1,2019,7.5,AC,2,2019,13.75,V,1,2019,11.75,V,2,2019,10,V,2,2019,10,V,2,2019,14,V,1,2019,10,V,2,2019,14,V,1,2019,13.5,V,1,2019,11917,V,2,2019
19000723,5.1,NV,2,2019,5,NV,2,2019,8.5,NV,2,2019,3.2,NRA,1,2019,1.8,NRA,1,2019,11.75,V,1,2019,5892,NV,2,2019,11.25,V,1,2019,14,V,1,2019,16,V,1,2019,13,V,1,2019,15,V,1,2019,15.5,V,1,2019,14125,V,1,2019
