COD_ETU,Note : TLMI4104,Résultat : TLMI4104,Session : TLMI4104,Année : TLMI4104,Note : TLMI4204,Résultat : TLMI4204,Session : TLMI4204,Année : TLMI4204,Note : TLMI4304,Résultat : TLMI4304,Session : TLMI4304,Année : TLMI4304,Note : TLMI4404,Résultat : TLMI4404,Session : TLMI4404,Année : TLMI4404,Note : TLMI4504,Résultat : TLMI4504,Session : TLMI4504,Année : TLMI4504,Note : TLMI4604,Résultat : TLMI4604,Session : TLMI4604,Année : TLMI4604,Note : TLMI4004,Résultat : TLMI4004,Session : TLMI4004,Année : TLMI4004,Note : TLMI3104,Résultat : TLMI3104,Session : TLMI3104,Année : TLMI3104,Note : TLMI3204,Résultat : TLMI3204,Session : TLMI3204,Année : TLMI3204,Note : TLMI3304,Résultat : TLMI3304,Session : TLMI3304,Année : TLMI3304,Note : TLMI3404,Résultat : TLMI3404,Session : TLMI3404,Année : TLMI3404,Note : TLMI3504,Résultat : TLMI3504,Session : TLMI3504,Année : TLMI3504,Note : TLMI3604,Résultat : TLMI3604,Session : TLMI3604,Année : TLMI3604,Note : TLMI3004,Résultat : TLMI3004,Session : TLMI3004,Année : TLMI3004
16000233,15.25,V,1,2019,12.3,V,1,2019,17,V,1,2019,10,V,1,2019,14,V,1,2019,10.35,V,1,2018,13.15,V,1,2019,10,V,2,2019,10,V,2,2019,10,V,2,2019,10,V,2,2018,13,V,1,2018,15.5,V,1,2018,11417,V,2,2019
16000322,14.5,V,1,2019,10.15,V,1,2019,13.5,V,1,2019,10,V,2,2019,12,V,1,2019,11.05,V,1,2017,11867,V,2,2019,7.5,AC,2,2019,10.8,V,1,2019,7,AC,2,2019,10,V,1,2018,12825,V,1,2018,11875,V,1,2018,10,V,2,2019
16000386,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019
16000603,10,V,2,2018,11138,V,1,2019,13,V,1,2019,10,V,2,2019,13,V,1,2019,13,V,1,2019,11.69,V,2,2019,4.25,NRA,1,2019,9,NV,2,2019,10,V,2,2019,10,V,2,2019,10,V,2,2019,10125,V,1,2018,8896,NV,2,2019
16000636,10.75,V,1,2018,10225,V,1,2018,15,V,1,2019,10,V,1,2019,13,V,1,2019,17,V,1,2019,12663,V,1,2019,3.8,NRA,1,2019,3.8,NRA,1,2019,2.6,NRA,1,2019,8.5,NV,2,2019,,,,,12875,V,1,2018,,,1,2019
16000831,10,V,2,2018,10,V,2,2017,10,V,2,2018,10,V,2,2018,8.5,AC,2,2018,12.35,V,1,2017,10142,V,2,2018,10,V,2,2019,9,NV,2,2019,10,V,2,2019,6,NV,2,2019,10375,V,1,2018,10,V,2,2017,9229,NV,2,2019
16000862,10,V,2,2017,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,15.8,V,1,2017,4.3,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,19375,V,1,2017,11.8,V,1,2017,12625,V,1,2017,7.3,NV,2,2019
16000866,10,V,2,2017,10,V,1,2018,11,V,1,2019,10,V,2,2018,15,V,1,2019,11.6,V,1,2017,11267,V,1,2019,10.1,V,1,2018,4.8,NRA,1,2019,1.8,NRA,1,2019,14.75,V,1,2017,10,V,2,2017,12,V,1,2017,8908,NV,2,2019
16000970,10,V,2,2018,10,V,2,2019,12,V,1,2019,10,V,2,2018,15,V,1,2019,10,V,2,2017,11167,V,2,2019,11.75,V,1,2019,2.2,NRA,1,2019,7,NV,2,2019,11.25,V,1,2017,10.6,V,1,2018,12.25,V,1,2017,9175,NV,2,2019
16001078,10,V,2,2017,11.75,V,1,2018,8,AC,2,2018,8,AC,2,2018,10,V,2,2018,12.8,V,1,2017,10092,V,2,2018,8,AC,2,2019,11,V,1,2019,11.4,V,1,2019,10.25,V,1,2017,10424,V,1,2019,14.5,V,1,2017,10929,V,2,2019
