COD_ETU,Note : TLBC2104,Résultat : TLBC2104,Session : TLBC2104,Année : TLBC2104,Note : TLBC2204,Résultat : TLBC2204,Session : TLBC2204,Année : TLBC2204,Note : TLBC2304,Résultat : TLBC2304,Session : TLBC2304,Année : TLBC2304,Note : TLBC2404,Résultat : TLBC2404,Session : TLBC2404,Année : TLBC2404,Note : TLBC2504,Résultat : TLBC2504,Session : TLBC2504,Année : TLBC2504,Note : TLBC2604,Résultat : TLBC2604,Session : TLBC2604,Année : TLBC2604,Note : TLBC2004,Résultat : TLBC2004,Session : TLBC2004,Année : TLBC2004,Note : TLBC1104,Résultat : TLBC1104,Session : TLBC1104,Année : TLBC1104,Note : TLBC1204,Résultat : TLBC1204,Session : TLBC1204,Année : TLBC1204,Note : TLBC1304,Résultat : TLBC1304,Session : TLBC1304,Année : TLBC1304,Note : TLBC1404,Résultat : TLBC1404,Session : TLBC1404,Année : TLBC1404,Note : TLBC1504,Résultat : TLBC1504,Session : TLBC1504,Année : TLBC1504,Note : TLBC1604,Résultat : TLBC1604,Session : TLBC1604,Année : TLBC1604,Note : TLBC1004,Résultat : TLBC1004,Session : TLBC1004,Année : TLBC1004
12011598,18.5,V,1,2019,8.3,AC,2,2013,12.2,V,1,2013,10,V,2,2013,18,V,1,2019,14.4,V,1,2012,13567,V,2,2019,11.7,V,1,2012,8.3,AC,2,2013,10,V,1,2012,10,V,2,2013,,,,,10,V,1,2012,10,V,2,2013
13012469,10,V,2,2014,10,V,2,2017,10,V,2,2016,13.1,V,1,2016,10,V,1,2019,13.7,V,1,2013,11133,V,1,2019,10,V,2,2015,10,V,2,2016,10.1,V,1,2015,10,V,2,2019,9,AC,2,2019,10.93,V,1,2013,10005,V,2,2019
13013094,10,V,2,2014,11.6,V,1,2017,10,V,2,2017,11.7,V,1,2015,10,V,1,2019,10,V,1,2013,10.55,V,1,2019,10,V,2,2016,11.2,V,1,2016,10,V,2,2015,8.9,AC,2,2017,10,V,2,2017,10,V,2,2013,10017,V,2,2017
14000461,10,V,2,2016,10304,V,1,2018,12.6,V,1,2017,12.1,V,1,2016,16,V,1,2019,12,V,1,2016,12167,V,1,2019,10,V,2,2015,10,V,2,2017,10,V,2,2015,10,V,2,2018,7,AC,2,2019,11.5,V,1,2016,9.75,AC,2,2019
14006142,12.5,V,1,2014,10,V,2,2016,10.8,V,1,2017,12.5,V,1,2014,18,V,1,2019,12,V,1,2014,12633,V,1,2019,13.5,V,1,2014,10,V,2,2016,10.71,V,1,2014,13.5,V,1,2018,7,AC,2,2018,12,V,1,2014,11118,V,2,2018
15000165,10,V,2,2016,10,V,2,2015,0,NV,2,2019,12.6,V,1,2015,0,NV,2,2019,10,V,1,2015,7.1,NV,2,2019,10.1,V,1,2015,9,AC,2,2016,13,V,1,2015,7.9,AC,2,2016,10,V,2,2015,10,V,2,2015,10,V,2,2016
15000255,10,V,2,2016,6,NV,2,2019,10,V,2,2018,10,V,2,2019,10,V,1,2019,11.5,V,1,2015,9583,NV,2,2019,10,V,2,2016,10,V,1,2016,11.25,V,1,2017,5525,NV,2,2019,7,NV,2,2019,13.25,V,1,2015,9504,NV,2,2019
15000369,10,V,2,2016,13.25,V,1,2016,0,NV,2,2019,10,V,2,2016,0,NV,2,2019,11.5,V,1,2016,7458,NV,2,2019,10,V,2,2016,13.4,V,1,2016,10,V,2,2015,0,NRA,1,2019,10,V,2,2016,13,V,1,2016,9.4,NV,2,2019
15001005,13,V,1,2015,10,V,1,2015,12,V,1,2019,13.15,V,1,2017,20,V,1,2019,10,V,2,2015,13025,V,1,2019,10,V,2,2019,10.1,V,1,2016,10,V,2,2018,0,NRA,1,2019,10.9,V,1,2017,10,V,2,2016,8.5,NV,2,2019
15001076,11.5,V,1,2015,10,V,2,2018,10,V,2,2016,12.6,V,1,2016,10,V,2,2018,11.25,V,1,2015,10892,V,2,2018,10,V,2,2015,10,V,2,2016,10.45,V,1,2015,12363,V,1,2019,10,V,2,2016,10.25,V,1,2015,10511,V,1,2019
