COD_ETU,Note : TLMI2104,Résultat : TLMI2104,Session : TLMI2104,Année : TLMI2104,Note : TLMI2204,Résultat : TLMI2204,Session : TLMI2204,Année : TLMI2204,Note : TLMI2304,Résultat : TLMI2304,Session : TLMI2304,Année : TLMI2304,Note : TLMI2404,Résultat : TLMI2404,Session : TLMI2404,Année : TLMI2404,Note : TLMI2504,Résultat : TLMI2504,Session : TLMI2504,Année : TLMI2504,Note : TLMI2604,Résultat : TLMI2604,Session : TLMI2604,Année : TLMI2604,Note : TLMI2004,Résultat : TLMI2004,Session : TLMI2004,Année : TLMI2004,Note : TLMI1104,Résultat : TLMI1104,Session : TLMI1104,Année : TLMI1104,Note : TLMI1204,Résultat : TLMI1204,Session : TLMI1204,Année : TLMI1204,Note : TLMI1304,Résultat : TLMI1304,Session : TLMI1304,Année : TLMI1304,Note : TLMI1404,Résultat : TLMI1404,Session : TLMI1404,Année : TLMI1404,Note : TLMI1504,Résultat : TLMI1504,Session : TLMI1504,Année : TLMI1504,Note : TLMI1604,Résultat : TLMI1604,Session : TLMI1604,Année : TLMI1604,Note : TLMI1004,Résultat : TLMI1004,Session : TLMI1004,Année : TLMI1004
17002059,10.19,V,1,2018,10,V,2,2019,14,V,1,2019,16.5,V,1,2019,12.38,V,1,2018,12,V,1,2019,12512,V,2,2019,8.95,NV,2,2019,10,V,1,2018,4.2,NRA,1,2019,4,NRA,1,2019,15.5,V,1,2018,11,V,1,2018,8942,NV,2,2019
17002457,11.3,V,1,2018,10,V,2,2018,10,V,1,2019,10,V,2,2018,11275,V,1,2018,14.75,V,1,2017,11221,V,1,2019,12.6,V,1,2019,10,V,2,2019,3.1,NRA,1,2019,10,V,2,2019,13.5,V,1,2018,14.5,V,1,2017,10617,NV,2,2019
17004263,10.35,V,1,2017,11.15,V,1,2017,11,V,1,2019,14.55,V,1,2017,10,V,1,2019,12,V,1,2019,11508,V,1,2019,12.7,V,1,2017,15.25,V,1,2018,11,V,1,2018,10,V,2,2017,10,V,2,2018,10,V,2,2017,11492,V,2,2018
17004774,10.8,V,1,2018,10,V,2,2018,13,V,1,2019,10,V,2,2017,10,V,2,2018,11,V,1,2018,10.8,V,1,2019,12.4,V,1,2018,7,AC,2,2018,10,V,2,2018,10,V,2,2018,13.5,V,1,2017,11,V,1,2017,10.65,V,2,2018
17005128,12.1,V,1,2017,13.6,V,1,2018,10.7,V,1,2018,16,V,1,2017,10,V,1,2017,12.5,V,1,2017,12483,V,1,2018,12.4,V,1,2018,10,V,2,2017,10,V,2,2019,10,V,2,2017,10,V,2,2017,12125,V,1,2017,10754,V,2,2019
17005358,10,V,2,2017,12.65,V,1,2018,10.5,V,1,2019,10,V,2,2017,10,V,1,2018,11.25,V,1,2017,10733,V,1,2019,10,V,2,2018,10.7,V,1,2017,7,AC,2,2018,10.1,V,1,2017,10,V,1,2017,15,V,1,2017,10467,V,2,2018
17005726,10,V,2,2018,10.05,V,1,2018,0,NV,2,2019,10.7,V,1,2018,0,NV,2,2019,10.5,V,1,2017,6875,NV,2,2019,8.9,AC,2,2017,11.2,V,1,2017,7,AC,2,2017,10,V,2,2017,14.5,V,1,2017,13625,V,1,2017,10871,V,2,2017
17005751,10,V,2,2018,10,V,2,2018,11,V,1,2019,10.7,V,1,2018,10,V,1,2019,11,V,1,2017,10.45,V,1,2019,8.35,AC,2,2019,10.25,V,1,2018,7,AC,2,2019,10,V,1,2018,10.5,V,1,2017,14125,V,1,2017,10038,V,2,2019
17005992,14.2,V,1,2018,10.7,V,1,2018,10.5,V,1,2019,10,V,2,2017,10,V,2,2018,12,V,1,2017,11233,V,1,2019,10.05,V,1,2018,10.25,V,1,2018,10,V,1,2018,10.3,V,1,2018,10,V,2,2017,12,V,1,2017,10433,V,1,2018
17006009,10,V,2,2019,11,V,1,2019,10,V,2,2019,10.6,V,1,2018,10,V,1,2019,10,V,1,2018,10267,V,2,2019,8.45,NV,2,2019,7.5,NV,2,2019,2.8,NRA,1,2019,10.4,V,1,2018,11.5,V,1,2017,13.75,V,1,2017,9067,NV,2,2019
17006032,12.4,V,1,2017,10,V,2,2017,11,V,1,2019,14.2,V,1,2017,10,V,1,2019,14,V,1,2019,11933,V,1,2019,7,AC,2,2018,12,V,1,2018,10,V,1,2018,15.8,V,1,2018,11.75,V,1,2018,12,V,1,2018,11425,V,2,2018
17006189,10,V,2,2017,10,V,1,2017,16,V,1,2019,10,V,2,2017,10,V,1,2019,12.5,V,1,2017,11417,V,1,2019,10,V,2,2018,12.25,V,1,2018,11,V,1,2018,15.1,V,1,2018,10,V,2,2017,11.5,V,1,2017,11642,V,2,2018
17006196,10,V,2,2019,10,V,2,2019,7,NV,2,2019,8.5,NV,2,2019,10,V,2,2019,0,NV,2,2019,7583,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,8.5,NV,2,2019,7.5,NV,2,2019,12.5,V,1,2017,10,V,2,2017,6417,NV,2,2019
17006197,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,10,V,2,2017,0,NV,2,2019,10.25,V,1,2017,3375,NV,2,2019,11.35,V,1,2017,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,12,V,1,2017,11.5,V,1,2017,5808,NV,2,2019
17006200,10,V,2,2017,10.65,V,1,2018,0,NV,2,2019,10.7,V,1,2017,10002,V,1,2018,10,V,2,2017,8559,NV,2,2019,13.2,V,1,2017,12,V,1,2018,7,AC,2,2018,10,V,2,2018,10,V,2,2017,10.5,V,1,2017,10.45,V,2,2018
17006271,11.05,V,1,2018,10,V,2,2018,15,V,1,2019,16,V,1,2019,10,V,2,2019,14.5,V,1,2017,12758,V,2,2019,11.25,V,1,2019,10,V,2,2018,1.4,NRA,1,2019,10,V,1,2019,10.75,V,1,2017,17125,V,1,2017,10088,NV,2,2019
