"COD_ETU","Note : TLMI2104","Résultat : TLMI2104","Session : TLMI2104","Année : TLMI2104","Note : TLMI2204","Résultat : TLMI2204","Session : TLMI2204","Année : TLMI2204","Note : TLMI2304","Résultat : TLMI2304","Session : TLMI2304","Année : TLMI2304","Note : TLMI2404","Résultat : TLMI2404","Session : TLMI2404","Année : TLMI2404","Note : TLMI2504","Résultat : TLMI2504","Session : TLMI2504","Année : TLMI2504","Note : TLMI2604","Résultat : TLMI2604","Session : TLMI2604","Année : TLMI2604","Note : TLMI2004","Résultat : TLMI2004","Session : TLMI2004","Année : TLMI2004","Note : TLMI1104","Résultat : TLMI1104","Session : TLMI1104","Année : TLMI1104","Note : TLMI1204","Résultat : TLMI1204","Session : TLMI1204","Année : TLMI1204","Note : TLMI1304","Résultat : TLMI1304","Session : TLMI1304","Année : TLMI1304","Note : TLMI1404","Résultat : TLMI1404","Session : TLMI1404","Année : TLMI1404","Note : TLMI1504","Résultat : TLMI1504","Session : TLMI1504","Année : TLMI1504","Note : TLMI1604","Résultat : TLMI1604","Session : TLMI1604","Année : TLMI1604","Note : TLMI1004","Résultat : TLMI1004","Session : TLMI1004","Année : TLMI1004"
"18008043","10","V","2","2019","2.6","NV","2","2020","0","NRA","1","2020","10","V","2","2019","4.34","NV","2","2020","0","NRA","1","2020","4.49","NV","2","2020","0","NRA","1","2020","10","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","1","NV","2","2020","0","NRA","1","2020","1,833","NV","2","2020"
"18008966","10","V","2","2019","10","V","1","2019","14","V","1","2019","7","AC","2","2019","10","V","1","2019","13.5","V","1","2018","10.75","V","2","2019",".6","NV","2","2020","3","NV","2","2020","5.5","NV","2","2020","1.5","NV","2","2020","10","V","2","2020","12","V","1","2018","5,433","NV","2","2020"
"18009010","10.5","V","1","2019","10","V","1","2019","8","AC","2","2019","14","V","1","2019","10","V","1","2019","12","V","1","2018","10.75","V","2","2019","9,475","AC","2","2020","10","V","2","2019","10","V","1","2020","12.45","V","1","2019","15","V","1","2020","16","V","1","2018","12,154","V","2","2020"
"18009015","0","NRA","1","2020","10","V","2","2019","12","V","1","2019","14","V","1","2019","10","V","2","2019","0","NRA","1","2020","7,667","NV","2","2020","5,325","NV","2","2020","0","NRA","1","2020","8","NV","2","2020","0","NRA","1","2020","10","V","2","2019","0","NRA","1","2020","3,888","NV","2","2020"
"18009016","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","13.5","V","1","2018","2.25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14","V","1","2018","2,333","NV","2","2020"
"18009020","10","V","2","2018","1.6","NV","2","2020","2","NV","2","2020","11","V","1","2019","3.35","NV","2","2020","15","V","1","2018","7,158","NV","2","2020","7.95","AC","2","2019","10","V","1","2018","10","V","2","2018","13.8","V","1","2019","12.8","V","1","2019","15","V","1","2018","11,592","V","2","2019"
"18009029","10","V","2","2018","11.1","V","1","2018","12","V","1","2019","10","V","2","2018","7","AC","2","2019","12","V","1","2018","10.35","V","2","2019","13.5","V","1","2018","13","V","1","2018","17.5","V","1","2020","11","V","1","2018","15.75","V","1","2018","14,125","V","1","2018","14,146","V","1","2020"
"18009031","10.4","V","1","2019","7","AC","2","2019","10.5","V","1","2019","14.5","V","1","2019","10","V","2","2019","10","V","2","2018","10.4","V","2","2019","7,325","NV","2","2020","6","NV","2","2020","4","NV","2","2020","3","NV","2","2020","10","V","1","2020","10,625","V","1","2018","6,825","NV","2","2020"
"18009154","10","V","2","2019","","","","","10","V","2","2019","7","NV","2","2020","5,503","NV","2","2020","11.5","V","1","2019","9,001","NV","2","2020","7","AC","2","2020","10.25","V","1","2019","12.5","V","1","2020","10","V","2","2020","10.5","V","1","2020","11","V","1","2018","10,208","V","2","2020"
"18009159","12.6","V","1","2019","10","V","2","2018","10","V","2","2019","14","V","1","2019","8.6","AC","2","2019","12","V","1","2018","11.2","V","2","2019","10","V","2","2019","10","V","2","2018","8","AC","2","2020","10","V","1","2019","10","V","2","2018","14.5","V","1","2018","10,417","V","2","2020"
"18009169","6","NV","2","2020","10","V","1","2019","10","V","1","2019","10","V","1","2020","5,025","NV","2","2020","3.75","NV","2","2020","7,463","NV","2","2020","11,875","V","1","2020","6","NV","2","2020","10","V","2","2018","14.75","V","1","2018","10","V","2","2018","10","V","2","2020","10,438","NV","2","2020"
"18009212","11.8","V","1","2019","10","V","1","2019","10","V","2","2019","10","V","1","2019","11","V","1","2019","11.5","V","1","2018","10,717","V","2","2019","8","AC","2","2020","8","AC","2","2020","11.5","V","1","2020","10","V","2","2020","10.5","V","1","2018","12","V","1","2018","10","V","2","2020"
"18010364","11.6","V","1","2019","14","V","1","2019","13","V","1","2019","12","V","1","2019","12","V","1","2019","10","V","2","2018","12.1","V","1","2019","4.05","NV","2","2020","6","NV","2","2020","8","NV","2","2020","10","V","2","2020","10","V","2","2019","13","V","1","2018","8,508","NV","2","2020"
"18010372","10.8","V","1","2019","10","V","1","2019","13","V","1","2019","10","V","2","2018","10","V","2","2018","12.5","V","1","2018","11.05","V","1","2019","11","V","1","2019","10","V","1","2018","8","AC","2","2020","11.7","V","1","2019","10","V","2","2018","13","V","1","2018","10,617","V","2","2020"
"18010519","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","12","V","1","2018","2","NV","2","2020"
"18010520","14.3","V","1","2019","10","V","2","2018","15","V","1","2019","16","V","1","2019","10","V","2","2019","15.5","V","1","2018","13,467","V","2","2019","9,088","AC","2","2020","10","V","2","2018","7","AC","2","2020","10","V","2","2020","10","V","2","2019","16,375","V","1","2018","10,411","V","2","2020"
"18010525","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","1,667","NV","2","2020"
"18010547","0","NRA","1","2020","0","NRA","1","2020","13","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","3,833","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11","V","1","2018","1,833","NV","2","2020"
"18010738","10","V","2","2018","10","V","2","2018","10","V","2","2019","15","V","1","2019","10,075","V","1","2018","13","V","1","2018","11,346","V","2","2019","11.05","V","1","2019","10.25","V","1","2019","13.5","V","1","2020","10","V","2","2019","14.5","V","1","2019","14","V","1","2019","12,217","V","1","2020"
"18010750","10","V","2","2018","10","V","1","2019","12","V","1","2019","14","V","1","2019","8","AC","2","2019","14","V","1","2018","11,333","V","2","2019","10.55","V","1","2019","10","V","2","2019","11","V","1","2020","11","V","1","2020","10","V","2","2018","14","V","1","2018","11,092","V","1","2020"
"18010765","10","V","2","2018","10","V","2","2018","15","V","1","2019","12","V","1","2019","7","AC","2","2019","12.5","V","1","2018","11,083","V","2","2019","12.85","V","1","2019","10","V","2","2018","11","V","1","2020","10","V","2","2019","10","V","1","2019","11.75","V","1","2018","10,933","V","1","2020"
"18010770","13.6","V","1","2019","11","V","1","2019","16","V","1","2019","16","V","1","2019","9","AC","2","2019","11","V","1","2018","12,767","V","2","2019","7","AC","2","2020","10","V","2","2019","11.5","V","1","2020","7.6","AC","2","2020","10.1","V","1","2019","13,875","V","1","2018","10,013","V","2","2020"
"18010771","15.3","V","1","2019","10","V","1","2019","10","V","2","2019","16","V","1","2019","9","AC","2","2019","10","V","2","2019","11,717","V","2","2019","2,425","NV","2","2020","4","NV","2","2020","10","V","2","2020","5.5","NV","2","2020","2","NV","2","2020","0","NRA","1","2020","3,988","NV","2","2020"
"18010778","12","V","1","2019","10","VAR","2","2020","8.5","AC","2","2020","13","V","1","2019","12","V","1","2019","11","V","1","2018","11,083","V","2","2020","8","AC","2","2020","9","AC","2","2020","10","V","2","2020","10","V","2","2020","10","V","2","2018","13,375","V","1","2018","10,063","V","2","2020"
"18010788","12.5","V","1","2019","10","V","2","2018","10","V","2","2019","12","V","1","2019","10,002","V","1","2018","10","V","2","2018","10.75","V","2","2019","10.1","V","1","2019","10","V","2","2018","10","V","1","2020","10","V","2","2020","10.9","V","1","2019","10.75","V","1","2018","10,292","V","2","2020"
"18010888","11.2","V","1","2019","10","VAR","2","2020","10.5","V","1","2019","12","V","1","2019","9.36","AC","2","2020","10","V","1","2018","10.51","V","2","2020","10,425","V","1","2020","9.4","AC","2","2020","10","V","2","2020","10.5","V","1","2019","10","V","2","2019","10","V","1","2018","10,054","V","2","2020"
"18011062","10","V","2","2019","11","V","1","2019","14","V","1","2019","15","V","1","2019","11","V","1","2019","10","V","1","2019","11,833","V","2","2019","10","V","2","2019","10","V","2","2020","10","V","1","2020","10","V","2","2019","10","V","2","2020","10","V","2","2018","10","V","2","2020"
"18011548","16.2","V","1","2019","10","V","2","2018","12","V","1","2019","16","V","1","2019","13","V","1","2019","13","V","1","2019","13,367","V","1","2019","10","V","2","2020","10","V","2","2018","9.5","AC","2","2020","10","V","2","2018","10.5","V","1","2018","10","V","2","2018","10","V","2","2020"
"18011549","14.5","V","1","2019","10","V","1","2019","16","V","1","2019","13","V","1","2019","15","V","1","2019","10","V","2","2018","13,083","V","1","2019","10.15","V","1","2020","7.5","NV","2","2020","10","V","1","2020","6","NV","2","2020","10","V","2","2019","10","V","2","2018","8,942","NV","2","2020"
