"COD_ETU","Note : TLGE3104","Résultat : TLGE3104","Session : TLGE3104","Année : TLGE3104","Note : TLGE3204","Résultat : TLGE3204","Session : TLGE3204","Année : TLGE3204","Note : TLGE3304","Résultat : TLGE3304","Session : TLGE3304","Année : TLGE3304","Note : TLGE3404","Résultat : TLGE3404","Session : TLGE3404","Année : TLGE3404","Note : TLGE3504","Résultat : TLGE3504","Session : TLGE3504","Année : TLGE3504","Note : TLGE3604","Résultat : TLGE3604","Session : TLGE3604","Année : TLGE3604","Note : TLGE3004","Résultat : TLGE3004","Session : TLGE3004","Année : TLGE3004","Note : TLGE4104","Résultat : TLGE4104","Session : TLGE4104","Année : TLGE4104","Note : TLGE4204","Résultat : TLGE4204","Session : TLGE4204","Année : TLGE4204","Note : TLGE4304","Résultat : TLGE4304","Session : TLGE4304","Année : TLGE4304","Note : TLGE4404","Résultat : TLGE4404","Session : TLGE4404","Année : TLGE4404","Note : TLGE4504","Résultat : TLGE4504","Session : TLGE4504","Année : TLGE4504","Note : TLGE4604","Résultat : TLGE4604","Session : TLGE4604","Année : TLGE4604","Note : TLGE4004","Résultat : TLGE4004","Session : TLGE4004","Année : TLGE4004","Note : TLMP140C","Résultat : TLMP140C","Session : TLMP140C","Année : TLMP140C","Note : TLMP240C","Résultat : TLMP240C","Session : TLMP240C","Année : TLMP240C"
"18005273","10","V","2","2020","7","AC","2","2020","7","AC","2","2020","10","V","2","2019","12.5","V","1","2020","12.5","V","1","2019","9,833","AC","2","2020","7","AC","2","2020","10","V","2","2020","11","V","1","2019","16.75","V","1","2020","13","V","1","2019","7","AC","2","2020","10,792","V","2","2020","","","","","","","",""
"18005274","8","NV","2","2020","10","V","2","2020","3.5","NV","2","2020","10","V","2","2019","11.5","V","1","2020","15.5","V","1","2019","9.75","NV","2","2020","10","V","2","2020","10","V","2","2020","11","V","1","2019","7","NV","2","2020","10","V","1","2019","4","NV","2","2020","8,667","NV","2","2020","","","","","","","",""
"18005385","13","V","1","2020","12.42","V","1","2020","10.25","V","1","2019","14.8","V","1","2019","10","V","1","2019","13","V","1","2019","12,245","V","1","2020","8,075","AC","2","2020","10","V","2","2020","11","V","1","2020","17.5","V","1","2020","12","V","1","2019","7","AC","2","2020","10,929","V","2","2020","","","","","","","",""
"18005402","5.5","NV","2","2020","","","","","10","V","2","2020","13","V","1","2020","10","V","2","2020","15.5","V","1","2019","","","1","2020","13.05","V","1","2019","7","AC","2","2020","13","V","1","2019","17.5","V","1","2020","13","V","1","2019","7","AC","2","2020","11,758","V","2","2020","","","","","","","",""
"18005407","9","AC","2","2020","10","V","2","2020","10","V","1","2020","10.2","V","1","2020","10,125","V","1","2019","11.5","V","1","2019","10,138","V","2","2020","10","V","2","2020","3","NV","2","2020","10","V","2","2020","10","V","1","2020","10","V","2","2020","7","NV","2","2020","8,333","NV","2","2020","","","","","","","",""
"18005425","","","","","","","","","","","","","13.1","V","1","2020","10","V","2","2020","10","V","1","2019","","","1","2020","9,125","AC","2","2020","7.85","AC","2","2020","11","V","1","2019","10.5","V","1","2020","12","V","1","2019","10","V","2","2020","10,079","V","2","2020","","","","","","","",""
"18005434","10","V","2","2020","10","V","2","2020","15.5","V","1","2020","12.3","V","1","2020","10","V","1","2020","12","V","1","2019","11,633","V","2","2020","14","V","1","2020","10","V","2","2020","12","V","1","2019","10","V","2","2020","10","V","2","2020","11","V","1","2020","11,167","V","2","2020","","","","","","","",""
"18005437","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14.5","V","1","2019","2,417","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","13","V","1","2019","11","V","1","2019","0","NRA","1","2020","4","NV","2","2020","","","","","","","",""
"18005443","12.5","V","1","2020","","","","","","","","","13","V","1","2020","8.5","NV","2","2020","11.5","V","1","2019","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","","","","","","","",""
"18005449","","","","","","","","","2","NV","2","2020","10","V","2","2019","3","NV","2","2020","16.5","V","1","2019","","","1","2020","5.15","NV","2","2020","2.7","NV","2","2020","7","NV","2","2020","17.5","V","1","2020","13","V","1","2019","0","NRA","1","2020","7,558","NV","2","2020","","","","","","","",""
