"COD_ETU","Note : TLMI4104","Résultat : TLMI4104","Session : TLMI4104","Année : TLMI4104","Note : TLMI4204","Résultat : TLMI4204","Session : TLMI4204","Année : TLMI4204","Note : TLMI4304","Résultat : TLMI4304","Session : TLMI4304","Année : TLMI4304","Note : TLMI4404","Résultat : TLMI4404","Session : TLMI4404","Année : TLMI4404","Note : TLMI4504","Résultat : TLMI4504","Session : TLMI4504","Année : TLMI4504","Note : TLMI4604","Résultat : TLMI4604","Session : TLMI4604","Année : TLMI4604","Note : TLMI4004","Résultat : TLMI4004","Session : TLMI4004","Année : TLMI4004","Note : TLMI3104","Résultat : TLMI3104","Session : TLMI3104","Année : TLMI3104","Note : TLMI3204","Résultat : TLMI3204","Session : TLMI3204","Année : TLMI3204","Note : TLMI3304","Résultat : TLMI3304","Session : TLMI3304","Année : TLMI3304","Note : TLMI3404","Résultat : TLMI3404","Session : TLMI3404","Année : TLMI3404","Note : TLMI3504","Résultat : TLMI3504","Session : TLMI3504","Année : TLMI3504","Note : TLMI3604","Résultat : TLMI3604","Session : TLMI3604","Année : TLMI3604","Note : TLMI3004","Résultat : TLMI3004","Session : TLMI3004","Année : TLMI3004"
"16000386","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"16000603","10","V","2","2018","11,138","V","1","2019","13","V","1","2019","10","V","2","2019","13","V","1","2019","13","V","1","2019","11.69","V","2","2019","5.5","NV","2","2020","7","NV","2","2020","10","V","2","2019","10","V","2","2019","10","V","2","2019","10,125","V","1","2018","8,771","NV","2","2020"
"16000636","10.75","V","1","2018","10,225","V","1","2018","15","V","1","2019","10","V","1","2019","13","V","1","2019","17","V","1","2019","12,663","V","1","2019","10","V","2","2020","10","V","2","2020","10.5","V","1","2020","18","V","1","2020","16","V","1","2020","12,875","V","1","2018","12,896","V","2","2020"
"16000831","10","V","2","2018","10","V","2","2017","10","V","2","2018","10","V","2","2018","8.5","AC","2","2018","12.35","V","1","2017","10,142","V","2","2018","10","V","2","2019","16","V","1","2020","10","V","2","2019","10","V","1","2020","10,375","V","1","2018","10","V","2","2017","11,063","V","1","2020"
"16000866","10","V","2","2017","10","V","1","2018","11","V","1","2019","10","V","2","2018","15","V","1","2019","11.6","V","1","2017","11,267","V","1","2019","10.1","V","1","2018","7","AC","2","2020","7","AC","2","2020","14.75","V","1","2017","10","V","2","2017","12","V","1","2017","10,142","V","2","2020"
"16000970","10","V","2","2018","10","V","2","2019","12","V","1","2019","10","V","2","2018","15","V","1","2019","10","V","2","2017","11,167","V","2","2019","11.75","V","1","2019","7","AC","2","2020","7","AC","2","2020","11.25","V","1","2017","10.6","V","1","2018","12.25","V","1","2017","9,975","AC","2","2020"
"16001082","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"16001153","11.25","V","1","2019","10","V","2","2019","10","V","2","2019","11","V","1","2019","13","V","1","2019","10","V","2","2019","10,875","V","2","2019","3.25","NV","2","2020","10","V","2","2020","7","NV","2","2020","10","V","1","2020","10","V","2","2018","10.5","V","1","2018","8,458","NV","2","2020"
"16001233","2","NV","2","2020","7","NV","2","2020","1","NV","2","2020","12","V","1","2020","10","V","2","2019","14","V","1","2019","7,667","NV","2","2020","4.25","NV","2","2020","11","V","1","2020","2","NV","2","2020","12.5","V","1","2019","10","V","2","2019","10","V","2","2018","8,292","NV","2","2020"
"16001328","6","NV","2","2020","10","V","2","2019","3.5","NV","2","2020","15","V","1","2019","15","V","1","2019","10.25","V","1","2017","9,958","NV","2","2020","4.5","NV","2","2020","4","NV","2","2020","5","NV","2","2020","17.75","V","1","2017","12","V","1","2020","10","V","2","2017","8,875","NV","2","2020"
