"COD_ETU","Note : TLMP1104","Résultat : TLMP1104","Session : TLMP1104","Année : TLMP1104","Note : TLMP1204","Résultat : TLMP1204","Session : TLMP1204","Année : TLMP1204","Note : TLMP1304","Résultat : TLMP1304","Session : TLMP1304","Année : TLMP1304","Note : TLMP1404","Résultat : TLMP1404","Session : TLMP1404","Année : TLMP1404","Note : TLMP1504","Résultat : TLMP1504","Session : TLMP1504","Année : TLMP1504","Note : TLMP1604","Résultat : TLMP1604","Session : TLMP1604","Année : TLMP1604","Note : TLMP1004","Résultat : TLMP1004","Session : TLMP1004","Année : TLMP1004","Note : TLMP2104","Résultat : TLMP2104","Session : TLMP2104","Année : TLMP2104","Note : TLMP2204","Résultat : TLMP2204","Session : TLMP2204","Année : TLMP2204","Note : TLMP2304","Résultat : TLMP2304","Session : TLMP2304","Année : TLMP2304","Note : TLMP2404","Résultat : TLMP2404","Session : TLMP2404","Année : TLMP2404","Note : TLMP2504","Résultat : TLMP2504","Session : TLMP2504","Année : TLMP2504","Note : TLMP2604","Résultat : TLMP2604","Session : TLMP2604","Année : TLMP2604","Note : TLMP2004","Résultat : TLMP2004","Session : TLMP2004","Année : TLMP2004"
"15000272","12.1","V","1","2017","10.3","V","1","2017","10","V","1","2020","11","V","1","2017","18.25","V","1","2017","10","V","2","2015","11,942","V","1","2020","10","V","2","2015","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","12.2","V","1","2015","11,875","V","1","2015","5,679","NV","2","2020"
"15002395","0","NRA","1","2020","10","V","2","2016","0","NRA","1","2020","12.8","V","1","2016","11","V","1","2016","10","V","1","2015","7.3","NV","2","2020","12.15","V","1","2015","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2015","10.1","V","1","2016","10","V","2","2015","7,042","NV","2","2020"
"15003217","10","V","1","2016","10","V","2","2016","8","AC","2","2016","12.6","V","1","2016","10","V","2","2016","10","V","2","2015","10.1","V","2","2016","11.75","V","1","2015","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","11.7","V","1","2016","13.5","V","1","2016","7,825","NV","2","2020"
"16000767","10.15","V","1","2017","8","AC","2","2017","10","V","2","2017","10.4","V","1","2016","15","V","1","2016","12.5","V","1","2016","11,008","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2016","11.75","V","1","2016","3,625","NV","2","2020"
"16000914","10.35","V","1","2017","10","V","2","2017","10,025","V","1","2017","10.2","V","1","2016","10","V","1","2016","0","NRA","1","2020","8,429","NV","2","2020","10","V","2","2017","11.25","V","1","2018","12.2","V","1","2018","10","V","1","2018","10","V","2","2016","10","V","2","2016","10,575","V","1","2018"
"16004528","10","V","1","2019","12","V","1","2020","8","AC","2","2020","10","V","2","2019","10","V","2","2018","10","V","2","2018","10","V","2","2020","10,025","V","1","2018","10","V","2","2018","10","V","2","2018","14.6","V","1","2019","12.8","V","1","2018","10","V","1","2017","11,238","V","1","2019"
"16007410","10","V","1","2018","10","V","2","2018","10","V","2","2019","10","V","2","2020","10","V","2","2016","10","V","1","2016","10","V","2","2020","10","V","1","2018","10","V","2","2016","16","V","1","2019","16.6","V","1","2019","15","V","1","2018","12,375","V","1","2016","13,329","V","1","2019"
"17003807","0","NRA","1","2020","0","NRA","1","2020","10.1","V","1","2018","10","V","2","2018","10","V","1","2017","10","V","2","2017","6,683","NV","2","2020","10","V","2","2017","0","NRA","1","2020","10","V","1","2018","0","NRA","1","2020","10","V","2","2018","10,375","V","1","2017","6,729","NV","2","2020"
"17005077","10.1","V","1","2017","10","V","2","2017","0","NRA","1","2020","10","V","2","2018","12","V","1","2017","10","V","1","2017","8,683","NV","2","2020","12.3","V","1","2017","7","AC","2","2017","10","V","2","2017","8.6","AC","2","2017","12.7","V","1","2017","11,875","V","1","2017","10,413","V","2","2017"
"17005240","0","NRA","1","2020","1","NV","2","2020","10","V","1","2017","0","NRA","1","2020","11.5","V","1","2017","10","V","1","2017","5,417","NV","2","2020","13.1","V","1","2017","10.8","V","1","2017","0","NRA","1","2020","10","V","1","2017","13.1","V","1","2017","10.75","V","1","2017","9,625","NV","2","2020"
"17005366","8.5","AC","2","2017","9","AC","2","2017","7.65","AC","2","2017","7","AC","2","2017","16,375","V","1","2017","12,875","V","1","2017","10,233","V","2","2017","11.1","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14,625","V","1","2017","4,288","NV","2","2020"
"17005380","0","NRA","1","2020","10.1","V","1","2017","0","NRA","1","2020","14","V","1","2018","12.75","V","1","2017","11,375","V","1","2017","8,038","NV","2","2020","0","NRA","1","2020","10.15","V","1","2017","0","NRA","1","2020","12","V","1","2018","0","NRA","1","2020","12,375","V","1","2017","5,754","NV","2","2020"
"17005456","10","V","1","2019","10","V","2","2020","9","AC","2","2020","10","V","2","2018","10","V","1","2017","13,375","V","1","2017","10,396","V","2","2020","10","V","2","2017","10","V","2","2018","12","V","1","2019","17.1","V","1","2019","10","V","2","2017","13,875","V","1","2017","12,163","V","1","2019"
"17005612","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","10.25","V","1","2017","10","V","2","2017","5,042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10.75","V","1","2017","1,792","NV","2","2020"
"17005679","7","AC","2","2017","9","AC","2","2017","10","V","2","2017","10","V","1","2017","17.75","V","1","2017","18,375","V","1","2017","12,021","V","2","2017","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2017","17.25","V","1","2017","6,208","NV","2","2020"
"17005695","10","V","2","2018","10","V","2","2018","10.5","V","1","2020","10","V","1","2020","10","V","2","2017","11,125","V","1","2017","10,271","V","1","2020","10,025","V","1","2018","10.6","V","1","2018","13","V","1","2019","20","V","1","2019","10","V","2","2017","12.25","V","1","2018","12,646","V","1","2019"
"17005770","10.1","V","1","2019","10","V","2","2019","5","NV","2","2020","8","NV","2","2020","10","V","1","2017","10,375","V","1","2017","8,913","NV","2","2020","8","AC","2","2019","8.6","AC","2","2019","12","V","1","2019","14.6","V","1","2019","12","V","1","2019","10.25","V","1","2017","10,908","V","2","2019"
"17005780","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","10","V","2","2018","15","V","1","2017","10.25","V","1","2017","7,542","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","12,375","V","1","2017","2,063","NV","2","2020"
