"COD_ETU","Note : TLBC3104","Résultat : TLBC3104","Session : TLBC3104","Année : TLBC3104","Note : TLBC3204","Résultat : TLBC3204","Session : TLBC3204","Année : TLBC3204","Note : TLBC3304","Résultat : TLBC3304","Session : TLBC3304","Année : TLBC3304","Note : TLBC3404","Résultat : TLBC3404","Session : TLBC3404","Année : TLBC3404","Note : TLBC3504","Résultat : TLBC3504","Session : TLBC3504","Année : TLBC3504","Note : TLBC3604","Résultat : TLBC3604","Session : TLBC3604","Année : TLBC3604","Note : TLBC3004","Résultat : TLBC3004","Session : TLBC3004","Année : TLBC3004","Note : TLBC4104","Résultat : TLBC4104","Session : TLBC4104","Année : TLBC4104","Note : TLBC4204","Résultat : TLBC4204","Session : TLBC4204","Année : TLBC4204","Note : TLBC4304","Résultat : TLBC4304","Session : TLBC4304","Année : TLBC4304","Note : TLBC4404","Résultat : TLBC4404","Session : TLBC4404","Année : TLBC4404","Note : TLBC4504","Résultat : TLBC4504","Session : TLBC4504","Année : TLBC4504","Note : TLBC4604","Résultat : TLBC4604","Session : TLBC4604","Année : TLBC4604","Note : TLBC4004","Résultat : TLBC4004","Session : TLBC4004","Année : TLBC4004"
"12011598","11,375","V","1","2015","8.3","AC","2","2013","12.2","V","1","2013","9.25","NV","2","2020","4.5","NV","2","2020","2","NV","2","2020","7,938","NV","2","2020","14.5","V","1","2019","12.6","V","1","2019","18","V","1","2019","10","V","2","2016","10.75","V","1","2019","11","V","1","2018","12,808","V","1","2019"
"13012469","10,688","V","1","2019","10,301","V","1","2018","10.4","V","1","2016","15.1","V","1","2019","7","AC","2","2020","10","V","2","2020","10,582","V","2","2020","10","V","1","2019","15","V","1","2019","12.2","V","1","2019","17","V","1","2019","10","V","2","2016","12.5","V","1","2014","12,783","V","1","2019"
"13012823","0","NRA","1","2020","10","V","2","2018","12.9","V","1","2015","10","V","2","2018","10","V","2","2016","0","NRA","1","2020","7.15","NV","2","2020","9,682","AC","2","2016","10","V","2","2016","10","V","2","2016","13.5","V","1","2015","11,375","V","1","2016","10","V","1","2014","10.76","V","2","2016"
"13014984","12.25","V","1","2015","0","NRA","1","2020","10,075","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","3,721","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14.7","V","1","2018","13","V","1","2017","4,617","NV","2","2020"
"14000415","10.75","V","1","2016","0","NRA","1","2020","10","V","1","2016","12,506","V","1","2016","0","NRA","1","2020","10","V","2","2018","7,209","NV","2","2020","10.5","V","1","2016","10","V","2","2015","10","V","2","2016","8","AC","2","2016","11.5","V","1","2016","10","V","2","2016","10","V","2","2016"
"14007110","10","V","2","2020","10","V","2","2016","10","V","2","2018","10","V","2","2018","10","V","2","2019","10","V","2","2020","10","V","2","2020","10","V","2","2020","10","V","1","2019","10","V","2","2017","10","V","2","2017","10","V","2","2016","10","V","2","2015","10","V","2","2020"
"15000165","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","","","1","2020"
"15000254","10","V","2","2020","10","V","2","2020","10","V","2","2018","10.05","V","1","2017","7","NV","2","2020","5","NV","2","2020","8,675","NV","2","2020","10","V","2","2016","11","V","1","2019","9","AC","2","2019","9","AC","2","2019","11","V","1","2017","10","V","2","2016","10","V","2","2019"
"15000255","7.5","NV","2","2020","5","NV","2","2020","10","V","2","2019","10","V","1","2020","","","","","1","NV","2","2020","","","1","2020","10","V","1","2020","11","V","1","2019","10","V","2","2020","10","V","2","2020","10.25","V","1","2020","12","V","1","2019","10,542","V","2","2020"
"15000325","0","NRA","1","2020","0","NRA","1","2020","10.1","V","1","2017","0","NRA","1","2020","12.85","V","1","2018","10.1","V","1","2017","5,508","NV","2","2020","10","V","2","2016","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","13","V","1","2016","0","NRA","1","2020","3,833","NV","2","2020"
